epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_head
1,3.919287949917363,0.25098039239060643,1.7564905673849815,0.5990196087781121,0.0001,0.003
2,0.8931190209061491,0.8421568632125854,0.8729267553955901,0.7892156867419973,0.0001,0.003
3,0.2742788290860606,0.9568627455655266,0.5807268542401931,0.8696078445397172,0.0001,0.003
4,0.11966575606196535,0.9852941176470589,0.49684452031757315,0.8813725494870952,0.0001,0.003
5,0.05685899891689712,0.996078431372549,0.41060614965709985,0.9029411769380756,0.0001,0.003
6,0.02459706664085388,1.0,0.37964850298914254,0.9098039220361148,0.0001,0.003
7,0.018758717559131922,1.0,0.3723186652157821,0.912745098506703,0.0001,0.003
8,0.015317539129333169,1.0,0.3565916635826522,0.9156862749772914,0.0001,0.003
9,0.012654838721980068,1.0,0.3481814263498082,0.9156862749772914,0.0001,0.003
10,0.012338872856515295,0.9990196078431373,0.36337624142567315,0.9098039220361148,0.0001,0.003
11,0.008532470461054176,1.0,0.3317174596529381,0.9117647063498403,0.0001,0.003
12,0.00697059993650399,1.0,0.3323431501201555,0.9107843141929776,0.0001,0.003
13,0.006617923931894349,1.0,0.3289987912657214,0.9147058828204286,0.0001,0.003
14,0.005907137138659463,1.0,0.3278890801995408,0.9147058828204286,0.0001,0.003
15,0.0058148680948743635,1.0,0.3259170617250835,0.9166666671341541,0.0001,0.003
16,0.004405998952650265,1.0,0.3225310019126125,0.9156862749772914,0.0001,0.003
17,0.0036279907440949304,1.0,0.3145013879327213,0.9176470592910169,0.0001,0.003
18,0.004854272393619313,1.0,0.3092498911362068,0.9225490200753306,0.0001,0.003
19,0.002897176439599956,1.0,0.31651138765554804,0.9215686279184678,0.0001,0.003
20,0.0030702600328653467,1.0,0.313688754538695,0.9186274514478796,0.0001,0.003
21,0.002597118243027259,1.0,0.3087234577711891,0.9205882357616051,0.0001,0.003
22,0.0022570087624640732,1.0,0.29775528361399967,0.9264705887027815,0.0001,0.003
23,0.002663957835266403,1.0,0.302245836193655,0.928431373016507,0.0001,0.003
24,0.0019909541962631777,1.0,0.29652065661023647,0.9205882357616051,0.0001,0.003
25,0.0022487696479348575,1.0,0.2992293229582263,0.9215686279184678,0.0001,0.003
26,0.0019376282571066245,1.0,0.29341577452187445,0.9225490200753306,0.0001,0.003
27,0.001835370533095271,1.0,0.2998987651630944,0.9196078436047423,0.0001,0.003
28,0.0016817925023097618,1.0,0.29261629590216803,0.9254901965459188,0.0001,0.003
29,0.001543235543238766,1.0,0.29212671977047827,0.9225490200753306,0.0001,0.003
30,0.0014735461440959982,1.0,0.28919067619478,0.9225490200753306,0.0001,0.003
